,,,,PURCHASE 2020-21,,,,,,,,,,
,,,,,,,,,,,,,,
DATE ,PARTY NAME,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,EX TOTAL,REMARKS,BROK.TIME,OTHER NOTI.,PAY DATE
16-06-2020,AXIS ECNOLOGECS,SALE,LM 10 UU,QLH,6,50,0,GAUTTAM ENT.,,0,,RECD,,
16-06-2020,AXIS ECNOLOGECS,SALE,LM 16 L UU,QLH,4,160,0,GAUTTAM ENT.,,0,,RECD,,
16-06-2020,AXIS ECNOLOGECS,SALE,SC 16 UU,QLH,6,180,0,GAUTTAM ENT.,,0,,RECD,,
16-06-2020,H D ENTER.,SALE,UCF 205,HONG,20,285,0,GAUTTAM ENT.,,0,,RECD,,
16-06-2020,H D ENTER.,SALE,UCUP 205,HONG,20,385,0,GAUTTAM ENT.,,0,,RECD,,
16-06-2020,MASRANI MILL GIN ST,55,,hkg,1,127,0,KOHINOOR BEARING,,0,,RECD,,
16-06-2020,R P IMPEX,RECD,22210 E C3,SKF,2,3100,0,KOHINOOR BEARING,100,0,,RECD,,
16-06-2020,R P IMPEX,RECD,22210 EK C3,SKF,2,3250,0,KOHINOOR BEARING,100,0,,RECD,,
17-06-2020,BEREWELL TRADERS,RECD,6009 ZZ,NTN,8,375,0,KOHINOOR BEARING,,0,,RECD,,
17-06-2020,j UMASHAKAR & CO,RECD,NU 209,NTN,2,900,0,KOHINOOR BEARING,150,0,,RECD,,
17-06-2020,MARUTI,RECD,NKI 28/30,IKO,34,490,0,KOHINOOR BEARING,,0,,RECD,,
17-06-2020,NILESH BEARINGs-hitesh,SALE,51103,SKF,10,453,0,GAUTTAM ENT.,,0,,RECD,,
17-06-2020,SAFEE GLOBE BRGS,SALE,51104,SKF,10,438,0,GAUTTAM ENT.,,0,,RECD,,
17-06-2020,SANGAM ENTER,12510,,SMS,1,2394,0,GAUTTAM ENT.,,0,,RECD,,
17-06-2020,SUNIL BHUTTA,SALE,81126,CHINA,2,2300,0,M/S KUNJAN TRA.CORP,100,0,,RECD,,
